date,name,isHoliday,holidayCategory,description
1/1/2013,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
1/5/2013,,是,星期六、星期日,
1/6/2013,,是,星期六、星期日,
1/12/2013,,是,星期六、星期日,
1/13/2013,,是,星期六、星期日,
1/19/2013,,是,星期六、星期日,
1/20/2013,,是,星期六、星期日,
1/26/2013,,是,星期六、星期日,
1/27/2013,,是,星期六、星期日,
2/2/2013,,是,星期六、星期日,
2/3/2013,,是,星期六、星期日,
2/9/2013,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於二月十三日補假一日。
2/10/2013,春節,是,放假之紀念日及節日,全國各機關學校於二月十日至二月十二日放假三日，二月十日適逢星期日，於二月十四日補假一日。
2/11/2013,春節,是,放假之紀念日及節日,全國各機關學校於二月十日至二月十二日放假三日，二月十日適逢星期日，於二月十四日補假一日。
2/12/2013,春節,是,放假之紀念日及節日,全國各機關學校於二月十日至二月十二日放假三日，二月十日適逢星期日，於二月十四日補假一日。
2/13/2013,,是,補假,
2/14/2013,,是,補假,
2/15/2013,,是,調整放假日,二月十五日全國各機關學校調整假，於二月二十三日補行上班一日。
2/16/2013,,是,星期六、星期日,
2/17/2013,,是,星期六、星期日,
2/23/2013,,否,補行上班日,
2/24/2013,,是,星期日,
2/28/2013,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
3/2/2013,,是,星期六、星期日,
3/3/2013,,是,星期六、星期日,
3/8/2013,婦女節,否,紀念日及節日,本日照常上班。
3/9/2013,,是,星期六、星期日,
3/10/2013,,是,星期六、星期日,
3/16/2013,,是,星期六、星期日,
3/17/2013,,是,星期六、星期日,
3/23/2013,,是,星期六、星期日,
3/24/2013,,是,星期六、星期日,
3/29/2013,青年節,否,紀念日及節日,本日照常上班。
3/30/2013,,是,星期六、星期日,
3/31/2013,,是,星期六、星期日,
4/4/2013,清明節、兒童節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢民族掃墓節，調整至四月五日放假。
4/5/2013,,是,調整放假日,
